MACRO_NAME,FILE_LOCATION,LINE_NUMBERADC_H_INCLUDED,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/EB/swp_ar4x_tv2/modules/em_adc/tresos/eclipse/plugins/adc/include/Adc.h,26
TS_MEMBZERO_CUSTOM_OVERRIDE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/product_environment/Variant_HV/out/bs_4M_startupkit/gen/Platform_Types.h,290
HAS_64BIT_TYPES,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/product_environment/Variant_HV/out/bs_4M_startupkit/gen/Platform_Types.h,294
USIZE_C,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/product_environment/Variant_HV/out/bs_4M_startupkit/gen/Platform_Types.h,441
COMPILER_H,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/EB/swp_ar4x_tv2/modules/em_platforms/tresos/eclipse/plugins/platforms/include/Compiler.h,3
COMPILER_CFG_H,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/product_environment/Variant_HV/out/bs_4M_startupkit/gen/Compiler_Cfg.h,41
PRJ_PATCH_H,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,43
AUTOSAR_COMSTACKDATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,49
STATIC,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,51
MCU_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,55
MCU_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,56
WDG_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,57
WDG_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,58
CORTST_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,59
CORTST_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,60
SPI_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,61
OCU_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,62
OCU_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,63
SPI_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,64
GPT_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,65
GPT_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,66
FLS_APPL_DATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,67
ICU_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,68
ICU_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,69
PWM_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,70
PWM_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,71
ADC_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,72
CAN_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,73
RAMTST_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,74
FLS_VAR_NO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,75
FLS_VAR_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Stubs/EB_Stubs/include/Prj_Patch.h,76
VECTOR_COMPILER_CFG_H,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,119
MSR_REGSPACE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,139
REGSPACE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,144
_STATIC_,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,149
_INLINE_,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,153
COMM_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,163
COMM_CONST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,165
COMM_PBCFG,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,166
COMM_VAR_NOINIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,168
COMM_VAR_ZERO_INIT,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,169
COMM_VAR_PBCFG,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,170
COMM_APPL_VAR,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,172
COMM_NVM_DATA,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,173
CANSM_CODE,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,185
CANSM_CONST,D:/TOY_XXXX_23_GW/TOY_XXXX_23_GW_SW/mc_sw/source/BSW/Vector/CBD2001022/Components/Common/Vector_Compiler_Cfg.h,187
